"FILE_NAME","Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"FALL_2000","EMCB 102",0,"U0031775","SIKORSKI, C.","CP SC 3200-001","Scientific Computation","LECTURE","M1045|W1045",80
"FALL_2000","EMCB 105",0,"U0034190","KESSLER, R. R.","CP SC 3500-001","Software Practice","LECTURE","T1400|H1400",80
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-002","Software Practice","DISCUSSION","W0835",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-003","Software Practice","DISCUSSION","W0940",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-004","Software Practice","DISCUSSION","W1045",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-005","Software Practice","DISCUSSION","W1150",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-006","Software Practice","DISCUSSION","W1255",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-007","Software Practice","DISCUSSION","W1400",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-008","Software Practice","DISCUSSION","W1505",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 3500-009","Software Practice","DISCUSSION","W1610",50
"FALL_2000","EMCB 101",0,"U0176314","FLATT, M.","CP SC 3520-001","Programming Languages","LECTURE","T1045|H1045",80
"FALL_2000","EMCB 110",0,"U0031683","BRUNVAND, E. L.","CP SC 3710-001","Computer Design Lab","LABORATORY","T0910|H0910",80
"FALL_2000","EMCB 102",0,"U0027837","HANSCOM, D.","CP SC 3810-001","Computer Architecture","LECTURE","T0835|H0835",115
"FALL_2000","EMCB 124",0,"U0032913","COTTER, N. E.","CP SC 4710-001","Comptr Eng Sr Project","LECTURE","T0910|H0910",80
"FALL_2000","EMCB 120",0,"U0028988","ZACHARY, J. L.","CP SC 4960-001","Special Topics","SPECIAL TOPICS","H1225",80
"FALL_2000","EMCB 105",0,"U0034190","KESSLER, R. R.","CP SC 5010-001","Software Practice","LECTURE","T1400|H1400",80
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-002","Software Practice","DISCUSSION","W0835",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-003","Software Practice","DISCUSSION","W0940",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-004","Software Practice","DISCUSSION","W1045",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-005","Software Practice","DISCUSSION","W1150",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-006","Software Practice","DISCUSSION","W1255",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-007","Software Practice","DISCUSSION","W1400",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-008","Software Practice","DISCUSSION","W1505",50
"FALL_2000","EMCB 210",0,"U0034190","KESSLER, R. R.","CP SC 5010-009","Software Practice","DISCUSSION","W1610",50
"FALL_2000","EMCB 112",0,"U0030391","HOLLAAR, L. A.","CP SC 5060-001","Legal Prot Software","LECTURE","M1820",100
"FALL_2000","MEB 3110",40,"U0056844","BUNKER, A.","CP SC 5100-001","Foundations Of CS","LECTURE","M1045|W1045",80
"FALL_2000","MEB 2325",49,"U0030676","JOHNSON, C. R.","CP SC 5210-001","Adv Sci Computing I","LECTURE","T1400|H1400",80
"FALL_2000","TBD",0,"U0035173","THOMPSON, W. B.","CP SC 5300-001","Artificial Intelligence","LECTURE","M1225|W1225",80
"FALL_2000","EMCB 105",0,"U0029780","HOLLERBACH, J. M.","CP SC 5310-001","Robotics","LECTURE","M1400|W1400",80
"FALL_2000","EMCB 103",0,"U0102099","MCKEE, S. A.","CP SC 5460-001","Operating Systems","LECTURE","M1400|W1400",80
"FALL_2000","EMCB 103",0,"U0029067","CARTER, J. B.","CP SC 5480-002","Networks","LECTURE","T1400|H1400",80
